potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,House_number,Street,Ward,District,City,progress,cleaned_street
53964157,hồ chí minh,quận 1,"212 nguyễn trãi, phường nguyễn cư trinh , quận 1",500320187,2023-09-19,2024-09-05,Nhà hàng,212,Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Trãi
1352713,hồ chí minh,quận 1,"44 trịnh văn cấn, phường cầu ông lãnh , quận 1",175054,,2024-02-08,63,44,Đường Trịnh Văn Cấn,Phường Cầu Ông Lãnh,Quận 1,Hồ Chí Minh,True,Đường Trịnh Văn Cấn
56997438,hồ chí minh,quận 1,"thôn 4,xã krông búk, huyện krông pắc, tỉnh đắk lắk    .",500370471,2023-11-30,2024-11-30,61,,,Xã Krông Búk,Huyện Krông Păk,Đắk Lắk,True,
1964781,hồ chí minh,quận 1,136 cống quỳnh p phạm ngũ lão q1,220055,,2021-05-10,77,129,Đường Cống Quỳnh,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Cống Quỳnh
16372054,hồ chí minh,quận 1,"lầu 2 số 252 đường lý tự trọng, - phường bến thành - quận 1 - tp hồ chí minh.",787819,2020-10-16,2024-04-15,15,252,Đường Lý Tự Trọng,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lý Tự Trọng
29279480,hồ chí minh,quận 1,"số 25/65 nguyễn bình khiêm, đa kao, quận 1, thành phố hồ chí minh",946855,2021-05-25,2024-05-24,3949,25/68/1,Hẻm 25 Nguyễn Bỉnh Khiêm,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Bỉnh Khiêm
109643,hồ chí minh,quận 1,"20/32 nguyễn cảnh chân, p. cầu kho, quận 1",38697,,2017-10-20,15,20/4,Đường Nguyễn Cảnh Chân,Phường Cầu Kho,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Cảnh Chân
21890185,hồ chí minh,quận 1,"03 trần quang khải, phường : tân định, quận: 01, thành phố : hồ chí minh",859724,2021-03-23,2023-07-02,71,3,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
55966706,hồ chí minh,quận 1,"114 bình lợi , phường 13 , quận bình thạnh , tp.hồ chí minh",500370908,2023-10-31,2024-10-31,Cà phê,114,Đường Bình Lợi,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Bình Lợi
52508255,hồ chí minh,quận 1,nhật bản,500283829,2023-07-26,2024-07-25,77,,,,,,True,
52350657,hồ chí minh,quận 1,24a trà khúc - phường 02 - tân bình - hồ chí minh,500286177,2023-07-26,2025-08-05,9,24A,Đường Trà Khúc,Phường 2,Quận Tân Bình,Hồ Chí Minh,True,Đường Trà Khúc
2335231,hồ chí minh,quận 1,"209 cô giang phường cô giang quận 1 ho chi minh city, vietnam",241496,,2021-05-01,77,209,Đường Cô Giang,Phường Cô Giang,Quận 1,Hồ Chí Minh,True,Đường Cô Giang
49763848,hồ chí minh,quận 1,"349/13 nguyễn trãi, phường 7, quận 5, tp, hcm",200035622,2023-05-09,2024-05-03,Pet spa,349/13,Hẻm 349 Nguyễn Trãi,Phường 7,Quận 5,Hồ Chí Minh,True,Đường Nguyễn Trãi
38348534,hồ chí minh,quận 1,102b phạm viết chánh phường nguyễn cư trinh quận 1 tphcm,1267751,2022-03-12,2024-12-10,3949,102B,Đường Phạm Viết Chánh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Phạm Viết Chánh
47471664,hồ chí minh,quận 1,"20 đường số 3, bình hưng hòa b, bình tân, hcm",200029333,2023-02-22,2024-02-21,63922,20,Đường Số 6,Phường Bình Hưng Hòa B,Quận Bình Tân,Hồ Chí Minh,True,Đường Số 6
390343,hồ chí minh,quận 1,"90 thạch thị thanh, q1",92304,,2025-01-08,77,90,Đường Thạch Thị Thanh,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Thạch Thị Thanh
48309450,hồ chí minh,quận 1,"296 nguyễn thượng hiền, phường 5, quận phú nhuận, tp hcm",500157915,2023-03-27,2024-03-30,15,302,Đường Nguyễn Thượng Hiền,Phường 5,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Nguyễn Thượng Hiền
4079037,hồ chí minh,quận 1,"22 nguyễn bỉnh khiêm, phường đa kao, quận 1, thành phố hồ chí minh",318776,2018-08-31,2024-09-15,77,58/22,Đường Nguyễn Bỉnh Khiêm,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Bỉnh Khiêm
8444907,hồ chí minh,quận 1,"54/5 trần quang khải, tân định, q.1, tp. hcm",516688,2019-08-26,2019-09-11,11957,54/5,Hẻm 54 Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
4131361,hồ chí minh,quận 1,"26 lý tự trọng, phường bến nghé, quận 1, thành phố hồ chí minh",321138,2018-10-18,2020-10-20,61,26,Đường Lý Tự Trọng,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Lý Tự Trọng
34980166,hồ chí minh,quận 1,"số 54 cao bá nhạ, phường nguyễn cư trinh, quận 1, thành phố hồ chí minh",1158712,2021-11-27,2022-11-23,77,54,Đường Cao Bá Nhạ,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Cao Bá Nhạ
48432391,hồ chí minh,quận 1,thủ dầu một bình dương,500384088,2023-11-30,2024-11-30,15,,,,Thủ Dầu Một,Bình Dương,True,
338925,hồ chí minh,quận 1,"67a mạc đỉnh chi, phường đakao, quận 1",154204,,2027-08-07,77,67A,Đường Mạc Đĩnh Chi,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Mạc Đĩnh Chi
45881982,hồ chí minh,quận 1,"ấp 1, hội nghĩa, tân uyên, bình dương",500070058,2022-12-19,2025-06-30,65,1,Cầu Tân Hội,Phường Tân Hiệp,Thị Xã Tân Uyên,Bình Dương,True,Đường Cầu Tân Hội
34785721,hồ chí minh,quận 1,"12 võ thị sáu, phường tân định, quận 1, thành phố hồ chí minh",1129223,2021-10-08,2024-02-05,73,12,Đường Võ Thị Sáu,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Võ Thị Sáu
48489818,hồ chí minh,quận 1,"tổ 4, hưng thịnh, hưng chiến, bình long, bình phước",500159694,2023-03-25,2025-03-25,69,,,,,,True,
50444869,hồ chí minh,quận 1,"số 67/1a, khu phố 3, phường 4, thành phố tây ninh, tỉnh tây ninh, việt nam",500220782,2023-05-24,2025-10-15,9,,,Phường 4,Tây Ninh,Tây Ninh,True,
19692834,hồ chí minh,quận 1,"96 trần quang khải , p.tân định , q.1 ,tp.hcm",842849,2020-12-24,2024-07-01,3949,96,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
416990,hồ chí minh,quận 1,"38/5 trần khắc chân, quận 1",95678,,2024-04-29,15,38/5,Hẻm 38 Trần Khắc Chân,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Khắc Chân
42752807,hồ chí minh,quận 1,"79, hoàng diệu 2, phường linh trung, thủ đức",1434790,2022-08-31,2024-11-24,65,84/79,Đường Hoàng Diệu,Phường Linh Trung,Thủ Đức,Hồ Chí Minh,True,Đường Hoàng Diệu
4398910,hồ chí minh,quận 1,"4e võ thị sáu, phường tân định, quận 01, tp.hcm",334063,2018-10-06,2019-10-20,77,4E,Đường Võ Thị Sáu,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Võ Thị Sáu
877691,hồ chí minh,quận 1,"132 hàm nghi, phường bến thành, quận 1,thành hố hồ chí minh",222433,,2023-11-04,15,132,Đường Hàm Nghi,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Hàm Nghi
40877642,hồ chí minh,quận 1,"130 paster , phường bến nghé quận 1",1359346,2022-06-20,2024-09-26,77,130,Đường Pasteur,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Pasteur
7672132,hồ chí minh,quận 1,"14 đường 52, phường thảo điền, quận 2, tp hồ chí minh",485531,2019-07-26,2024-07-23,3472,14,Đường Âu Dương Lân,Phường 2,Quận 8,Hồ Chí Minh,True,Đường Âu Dương Lân
1936315,hồ chí minh,quận 1,"76 mai thị lựu , p.da kao , quận 1",222712,,2019-11-15,75,76,Đường Mai Thị Lựu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Mai Thị Lựu
50259613,hồ chí minh,quận 1,"thôn nông nghiệp, xã hoà binh 1, huyện tây hoà tỉnh phú yên",500329126,2023-09-27,2024-09-25,73,,,Xã Hòa Bình 1,Huyện Tây Hòa,Phú Yên,True,
45388514,hồ chí minh,quận 1,"ấp 9, tân trung, mỏ cày nam, bến tre",500224058,2023-05-26,2024-05-22,71,,,Xã Tân Trung,Huyện Mỏ Cày Nam,Bến Tre,True,
48682923,hồ chí minh,quận 1,"11 đường 339, phước long b, thủ đức",500171726,2023-03-27,2025-06-25,15,11,Đường 339,Phường Phước Long B,Thủ Đức,Hồ Chí Minh,True,Đường 339
4350038,hồ chí minh,quận 1,"126 cô bắc, p cầu ông lãnh, q1, tp hcm",331536,2018-11-09,2020-02-01,3949,82,Đường Cô Bắc,Phường Cầu Ông Lãnh,Quận 1,Hồ Chí Minh,True,Đường Cô Bắc
4352409,hồ chí minh,quận 1,"114 trần khắc chân, tân định, q 1, hồ chí minh",331847,2018-09-30,2024-01-10,77,1,Đường Trần Khắc Chân,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Khắc Chân
36184969,hồ chí minh,quận 1,730/126 lê đức thọ,1162239,2021-11-10,2022-11-06,77,730/126,Hẻm 730 Lê Đức Thọ,Phường 15,Quận Gò Vấp,Hồ Chí Minh,True,Đường Lê Đức Thọ
51123659,hồ chí minh,quận 1,"số 55/7, ấp 7, xuân thới thượng, hóc môn, tp. hồ chí minh",500250986,2023-06-26,2024-06-30,71,34/6,Hẻm 1A Ấp 7,Xã Xuân Thới Thượng,Huyện Hóc Môn,Hồ Chí Minh,True,Ấp 7
5799740,hồ chí minh,quận 1,"198 bùi viện, phường phạm ngũ lão, quận 1, tp hồ chí minh",415241,2019-03-20,2021-10-01,3949,198,Đường Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Bùi Viện
2879381,hồ chí minh,quận 1,"157 trần quang khải, phường tân định, quận 1, tp. hồ chí minh",261018,2018-03-31,2020-06-30,77,157,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
44799710,hồ chí minh,quận 1,"17 trần hưng đạo, đức tài, đức linh, bình thuận",500072475,2022-12-24,2025-03-30,61,17,Đường Trần Hưng Đạo,Thị Trấn Đức Tài,Huyện Đức Linh,Bình Thuận,True,Đường Trần Hưng Đạo
5983307,hồ chí minh,quận 1,2a thạch thị thanh phường tân định quận 1 tp hồ chí minh,391162,2019-03-12,2020-02-29,61,2A,Đường Thạch Thị Thanh,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Thạch Thị Thanh
50916213,hồ chí minh,quận 1,"41c tú xương, p võ thị sáu, quận 3, hồ chí minh",500298959,2023-08-19,2025-08-12,Nhà hàng,40,Đường Tú Xương,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True,Đường Tú Xương
48052724,hồ chí minh,quận 1,"36/4 khu phố 4, bình thuận, quận 7, hồ chí minh",200029969,2023-02-28,2025-05-28,Thẩm mỹ viện & Spa,,,Phường Bình Thuận,Quận 7,Hồ Chí Minh,True,
1774126,hồ chí minh,quận 1,"30/1 calmette,phường nguyễn thái bình,q.1",208019,,2027-10-09,3949,30/1,Đường Calmette,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True,Đường Calmette
56697264,hồ chí minh,quận 1,"53 huỳnh mẫn đạt, phường 19, bình thạnh",500390597,2023-12-20,2026-04-30,Quán ăn,55,Đường Huỳnh Mẫn Đạt,Phường 19,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Huỳnh Mẫn Đạt
1702438,hồ chí minh,quận 1,"p802, 275b tòa nhà satra phạm ngũ lão, p. phạm ngũ lão, quận 1,  hồ chí minh",203365,,2021-05-14,69,275B,Đường Phạm Ngũ Lão,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Phạm Ngũ Lão
40823422,hồ chí minh,quận 1,120 cống quỳnh- phường phạm ngũ lão- quận 1,1368867,2022-06-28,2024-09-25,3949,,Hẻm 102 Cống Quỳnh,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Cống Quỳnh
47692292,hồ chí minh,quận 1,"223 phạm viết chánh, phường nguyễn cư trinh, quận 1, tp hcm",500150159,2023-03-15,2025-06-30,Quán ăn,223,Đường Phạm Viết Chánh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Phạm Viết Chánh
36879813,hồ chí minh,quận 1,"lầu 6, 186bis trần quang khải, phường tân định, quận 1, thành phố hồ chí minh, việt nam",1350951,2022-06-29,2023-06-27,19,186BIS,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
56227096,hồ chí minh,quận 1,"tầng 19, khu a, indochina park tower, số 4 nguyễn đình chiểu, phường đa kao, quận 1, thành phố hồ chí minh, việt nam",500373833,2023-11-08,2025-02-07,9,19,Đường Nguyễn Đình Chiểu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
57651259,hồ chí minh,quận 1,"29 đường số 10, phường tân phong, quận 7, thành phố hồ chí minh, việt nam",500420558,2023-12-30,2025-12-25,Nhà hàng,29,Đường Số 10,Phường Tân Phong,Quận 7,Hồ Chí Minh,True,Đường Số 10
3381842,hồ chí minh,quận 1,"số 8b, đường nguyễn văn thủ, phường đakao, quận 1, thành phố hồ chí minh",291405,2018-06-13,2025-06-15,77,1,Đường Nguyễn Văn Cừ,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Văn Cừ
43754403,hồ chí minh,quận 1,"27b nguyễn đình chiểu, phường đa kao, quận 1, tp hồ chí minh",1487971,2022-09-30,2024-09-29,3472,27B,Đường Nguyễn Đình Chiểu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
17629786,hồ chí minh,quận 1,"191/ a54 cống quỳnh, phường nguyễn cư trinh, quận 1, thành phố hồ chí minh",809015,2020-11-10,2023-02-07,63922,191/A22,Hẻm B Cống Quỳnh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Hẻm B Cống Quỳnh
15574421,hồ chí minh,quận 1,"tổ dân phố vạn thiên, phường ninh đa, thị xã ninh hòa, tỉnh khánh hòa",752671,2020-09-18,2022-09-21,63,,,Phường Ninh Đa,Thị Xã Ninh Hòa,Khánh Hòa,True,
1733877,hồ chí minh,quận 1,"95/1 ấp mỹ hòa, trung chánh, hoocmon",205601,,2025-09-21,77,,Đường Ấp Mỹ Hòa 1,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,True,Đường Ấp Mỹ Hòa 1
17362976,hồ chí minh,quận 1,"1a phan tôn, phường dakao, quận 1.tp hcm",807580,2020-11-07,2022-05-25,3949,1A,Đường Phan Tôn,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Phan Tôn
355234,hồ chí minh,quận 1,"lầu 2 - số 22 ký con, quận 1, hcm",86952,,2024-12-29,77,22,Đường Ký Con,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True,Đường Ký Con
149562,hồ chí minh,quận 1,"6 thi sách, phường bến nghé, quận 1.",47909,,2017-05-05,77,6,Đường Thi Sách,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Thi Sách
45155761,hồ chí minh,quận 1,"244 hùng vương, kp4, long hoa, thị xã hòa thành, tây ninh",500028890,2022-11-17,2024-11-20,65,243,Đường Hùng Vương,Phường Long Hoa,Thị Xã Hòa Thành,Tây Ninh,True,Đường Hùng Vương
43037870,hồ chí minh,quận 1,"145 trần quang khải, tân định, q.1, hcm",1454601,2022-09-19,2024-09-25,15,145,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
6664690,hồ chí minh,quận 1,"577/45 trần hưng đạo,p cầu kho, tp.hồ chí minh",446259,2019-05-10,2020-05-06,77,577/TK5/20,Hẻm 457 Trần Hưng Đạo,Phường Cầu Kho,Quận 1,Hồ Chí Minh,True,Đường Trần Hưng Đạo
57367522,hồ chí minh,quận 1,"152 trần não, phường an bình, thành phố thủ đức",500422484,2023-12-31,2024-01-07,65,152,Đường Trần Não,Phường An Khánh,Thủ Đức,Hồ Chí Minh,True,Đường Trần Não
372241,hồ chí minh,quận 1,145/18c đường lê quang định p14. q bình thành,92480,,2024-05-09,11957,145/14,Đường Lê Quang Định,Phường 14,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Lê Quang Định
2711041,hồ chí minh,quận 1,"212/315 nguyễn văn nguyễn, phường tân định, quận 1, tp.hồ chí minh",260081,2018-03-14,2024-06-10,77,212/315,Hẻm 212 Nguyễn Văn Nguyễn,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Văn Nguyễn
140798,hồ chí minh,quận 1,"05 huỳnh thúc kháng , p bến nghé, quận 1",268540,,2018-09-01,3949,5,Đường Huỳnh Thúc Kháng,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Huỳnh Thúc Kháng
9552608,hồ chí minh,quận 1,hiroshima shi nishi ku miasamachi ni choume 10-8-106,549185,2019-11-05,2020-11-15,77,8,,西区,広島市,,True,
54036001,hồ chí minh,quận 1,"22a trần nhật duật, nha trang",500326856,2023-09-15,2026-03-14,61,22A,Đường Trần Nhật Duật,Phường Phước Hòa,Nha Trang,Khánh Hòa,True,Đường Trần Nhật Duật
45891236,hồ chí minh,quận 1,"tổ 2, phước bình, phước minh, dương minh châu, tây ninh",500064045,2022-12-10,2025-03-08,19,,,Xã Phước Minh,Huyện Dương Minh Châu,Tây Ninh,True,
34814992,hồ chí minh,quận 1,"32 nguyễn cư trinh, phường phạm ngũ lão, quận 1, tp. hồ chí minh.",1129208,2021-10-06,2024-10-03,3949,210BIS/7,Nguyễn Trãi,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Trãi
45705422,hồ chí minh,quận 1,"45/2y ấp mỹ hòa 1, trung chánh, hóc môn",500086463,2022-12-29,2024-03-25,77,46/1,Hẻm 45 Ấp Mỹ Hòa 1,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,True,Ấp Mỹ Hòa 1
9463038,hồ chí minh,quận 1,"180-192 nguyễn công trứ p.nguyễn thái bình, quận 1, tp.hcm",562634,2019-11-30,2024-11-29,71,175,Đường Nguyễn Công Trứ,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Công Trứ
50706503,hồ chí minh,quận 1,"3/35 ấp 1, xã đông thạnh , hóc môn , hcm",500228976,2023-06-06,2024-07-05,15,,Hẻm 35 Ấp Đông Lân,Xã Bà Điểm,Huyện Hóc Môn,Hồ Chí Minh,True,Ấp Đông Lân
1571358,hồ chí minh,quận 1,"50 trần quang khải, p. tân định, quận 1",126315,,2027-07-18,63,48,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
28309528,hồ chí minh,quận 1,"104/8 mai thị lựu, phường đa kao, quận 1, hcm",933589,2021-05-10,2023-05-14,15,104/8,Hẻm 104 Mai Thị Lựu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Mai Thị Lựu
46731732,hồ chí minh,quận 1,"208 nguyễn hữu cảnh-p22-quận bình thạnh, tphcm",500135010,2023-02-27,2024-02-28,Thẩm mỹ viện & Spa,208,Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Nguyễn Hữu Cảnh
15457655,hồ chí minh,quận 1,"225d trần quang khải, tân định, quận 1, tphcm",767821,2020-09-12,2022-12-11,3949,225D,Đường Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,True,Đường Trần Quang Khải
4229436,hồ chí minh,quận 1,"số 155/11 đường cống quỳnh, quận 1, thành phố hồ chí minh",325332,2018-09-20,2024-09-30,61,155/11,Đường Cống Quỳnh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Cống Quỳnh
43635643,hồ chí minh,quận 1,nhật bản,1489960,2022-10-10,2023-10-05,77,,,,,,True,
7804893,hồ chí minh,quận 1,"số 1 đường số 6, khu phố 6, phường bình chiểu,quận thủ đức",492837,2019-08-06,2024-08-02,69,1,Đường Số 6,Phường Bình Chiểu,Thủ Đức,Hồ Chí Minh,True,Đường Số 6
15951491,hồ chí minh,quận 1,"126/3 nguyễn cư trinh, phường nguyễn cư trinh, quận 1, thành phố hồ chí minh",785740,2020-10-06,2024-02-27,77,126/3,Đường Nguyễn Cư Trinh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Cư Trinh
48063542,hồ chí minh,quận 1,"ql1, tp. bavet, tỉnh svayrieng,cambodia",500142710,2023-03-20,2025-06-23,Bánh ngọt,,,,បាវិត,ស្វាយរៀង,True,
46241398,hồ chí minh,quận 1,ấp mỹ thuận  xã nhơn mỹ huyện  chợ lớn tỉnh  an giang,500083217,2022-12-27,2025-01-04,73,,Ấp Mỹ Hòa,Xã Nhơn Mỹ,Huyện Chợ Mới,An Giang,True,Ấp Mỹ Hòa
22749648,hồ chí minh,quận 1,"59/17 nguyễn du, phường bến nghé, quận 1, thành phố hồ chí minh",869068,2021-02-02,2026-08-10,Thú cưng,59/17,Đường Nguyễn Du,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Du
866573,hồ chí minh,quận 1,lê lai q1,137715,,2018-07-15,77,,Đường Lê Lai,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lê Lai
11221833,hồ chí minh,quận 1,"217b phạm viết chánh, phường nguyễn cư trinh, quận 01, tphcm",625364,2020-02-25,2021-02-25,77,217B,Đường Phạm Viết Chánh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Phạm Viết Chánh
48581876,hồ chí minh,quận 1,15c3 thi sách - phường bến nghé - quận 1 - thành phố hồ chí minh - việt nam,500162563,2023-05-12,2024-05-21,Bar/Pub/Club,13,Đường Thi Sách,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Thi Sách
27008026,hồ chí minh,quận 1,"354 võ văn kiêt, phường cô giang, quận 1",914643,2021-04-13,2024-10-09,11957,354,Đường Võ Văn Kiệt,Phường Cô Giang,Quận 1,Hồ Chí Minh,True,Đường Võ Văn Kiệt
45928505,hồ chí minh,quận 1,"341/5 nguyễn trãi, phường nguyễn cư trinh, quận 1, tphcm",500050384,2022-12-14,2023-12-20,61,341/6,Hẻm 341 Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Trãi
57027634,hồ chí minh,quận 1,"a1/31 q1, ấp 1, xã vĩnh lộc a, huyện bình chánh, thành phố hồ chí minh, việt nam",500400442,2023-12-12,2024-12-12,77,A6/1,Đường Vĩnh Lộc,Xã Vĩnh Lộc A,Huyện Bình Chánh,Hồ Chí Minh,True,Đường Vĩnh Lộc
55891379,hồ chí minh,quận 1,"tổ 10, quang vinh, tp thái nguyên, thái nguyên",500395515,2023-11-30,2024-11-30,Thú y,10,Đường Quang Vinh,Phường Quang Vinh,Thái Nguyên,Thái Nguyên,True,Đường Quang Vinh
2056767,hồ chí minh,quận 1,150/43a nguyễn trãi p.bến thành q.1 tp.hcm,225501,,2019-02-25,77,150/43,Đường Nguyễn Trãi,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Trãi
