,place_id,name,main_category,categories,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
26,ChIJt7IubzSIoDERpETZbvPUYcA,Quán Bún Mắm 173,Quán ăn nhỏ,Quán ăn nhỏ,+84 914 063 042,"Quán Bún Mắm 173, 594 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",594 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
27,ChIJG0HvUP6HoDER3eW-3CIIeFs,Vườn nướng Hàn Quốc Cần Thơ,Nhà hàng,Nhà hàng,,"Vườn nướng Hàn Quốc Cần Thơ, 54 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",54 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
30,ChIJQ_IhDaBioDERjtEwZ340UOE,Quán Ăn Cẩm Ký,Quán ăn nhỏ,"Quán ăn nhỏ, Nhà hàng",+84 292 6292 128,"Quán Ăn Cẩm Ký, 37 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000, Việt Nam","Tân An, Ninh Kiều",37 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
40,ChIJo7zbaDSIoDERhnzs7jDXTyg,Nhà Hàng Ngói đỏ,Nhà hàng,Nhà hàng,+84 939 709 579,"Nhà Hàng Ngói đỏ, 596 30 thang 4 Str, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",596 30 thang 4 Str,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
41,ChIJtabSTJ9ioDEROCLqgNULGQA,Nhà Hàng Sao Hôm,Nhà hàng Việt Nam,"Nhà hàng Việt Nam, Nhà hàng châu Á, Nhà hàng Châu Âu",+84 292 3815 616,"Nhà Hàng Sao Hôm, Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",Đường Hai Bà Trưng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
42,ChIJQX9vWiGJoDERvTR3pR_1V4Q,Mì Cay ITADA - Nguyễn Văn Cừ,Nhà hàng,Nhà hàng,,"Mì Cay ITADA - Nguyễn Văn Cừ, 287 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",287 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
43,ChIJGwJSaaBioDER2IbjjN7H_mw,Hủ Tiếu Nam Vang Ngọc Ngân,Quán mì,Quán mì,+84 292 3886 677,"Hủ Tiếu Nam Vang Ngọc Ngân, 50 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",50 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
44,ChIJq8LbJJ9ioDERqPYMt5KSBJo,Quán Lẩu Bò Sìl Mỳ,Quán ăn nhỏ,Quán ăn nhỏ,+84 292 3811 467,"Quán Lẩu Bò Sìl Mỳ, 13 Đ. Hải Thượng Lãn Ông, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",13 Đ. Hải Thượng Lãn Ông,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
45,ChIJT05NI96JoDERAWm5LOmStBY,Lẩu Thái Chay Tư Đậu 2,Nhà hàng món chay,Nhà hàng món chay,+84 782 986 783,"Lẩu Thái Chay Tư Đậu 2, 82-84 Ngô Sĩ Liên, Kdc mêtro .P, Ninh Kiều, Cần Thơ, Việt Nam","Kdc mêtro .P, Ninh Kiều",82-84 Ngô Sĩ Liên,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
47,ChIJUYUsozeIoDER5CicuEDs46Q,Quán ăn Tuấn Phát,Quán ăn nhỏ,"Quán ăn nhỏ, Nhà hàng",+84 983 747 445,"Quán ăn Tuấn Phát, 56 Ngô Sĩ Liên, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",56 Ngô Sĩ Liên,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
55,ChIJoQzNMh6IoDERWJ3n3htJyDg,Cơm Chay Oanh,Nhà hàng món chay,"Nhà hàng món chay, Nhà hàng chuyên phục vụ bữa sáng",+84 292 3830 820,"Cơm Chay Oanh, 102 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",102 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
56,ChIJbcq5DKBioDERJWzzl9w48oQ,Quán Cơm Chay Sen Vàng 2,Nhà hàng món chay,Nhà hàng món chay,+84 816 734 039,"Quán Cơm Chay Sen Vàng 2, 41 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",41 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
57,ChIJ9TEXZQiDCjERhWL-xMXZcOE,Quán ăn truyền thống Hàn Quốc - Heri,Nhà hàng Hàn Quốc,Nhà hàng Hàn Quốc,+84 292 6262 200,"Quán ăn truyền thống Hàn Quốc - Heri, 43 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",43 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
67,ChIJ5enKAiGIoDERtnOH5aqiQAE,Cù Lần - Bò Nướng Ngói,Quán ăn nhỏ,Quán ăn nhỏ,+84 939 033 693,"Cù Lần - Bò Nướng Ngói, 88/19a Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",88/19a Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
68,ChIJVdMi1AKJoDERXun1oMygC_M,Tú Tú Seafood,Nhà hàng,Nhà hàng,+84 939 101 838,"Tú Tú Seafood, 59Đ Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ 94000, Việt Nam","Phường An Khánh, Ninh Kiều",59Đ Hẻm 51,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
69,ChIJ_RFG7tRjoDERxLNP_-JO_Vc,Lẩu mắm miền tây,Nhà hàng,Nhà hàng,+84 769 991 919,"Lẩu mắm miền tây, 36 Đ. Trần Đại Nghĩa, p, Ninh Kiều, Cần Thơ 94000, Việt Nam","p, Ninh Kiều",36 Đ. Trần Đại Nghĩa,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
72,ChIJTcQ_VDeJoDERbB3A_YSiLTA,Lẩu Mắm 75,Quán ăn nhỏ,Quán ăn nhỏ,+84 292 3764 051,"Lẩu Mắm 75, 75/1 vào, Hẻm 54 Trần Viết Châu, Ninh Kiều, Cần Thơ 94000, Việt Nam","Thới Bình, Ninh Kiều","75/1 vào, Hẻm 54 Trần Viết Châu",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
76,ChIJ11cghcGJoDERYJDlxM5-UME,Lẩu Chay Organic,Nhà hàng,Nhà hàng,+84 905 959 675,"Lẩu Chay Organic, Hẻm liên tổ 4-5, Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","Hẻm liên tổ 4-5, Đ. Nguyễn Văn Linh",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
77,ChIJlx3WkP2JoDER2YBYzfMPCxo,MONACO coffee & restaurant,Nhà hàng,Nhà hàng,+84 847 427 056,"MONACO coffee & restaurant, 33 Đ. Nguyễn Bình, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",33 Đ. Nguyễn Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
79,ChIJ_QO54SWJoDERe3LmeDFCib0,Cơm Nhà Cáo,Nhà hàng gia đình,Nhà hàng gia đình,+84 826 552 929,"Cơm Nhà Cáo, 135C Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",135C Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
81,ChIJxT16z-yJoDERtdPNe87IARA,Quán 51 | Quán Nhậu Hẻm 51 | Quán Ăn Gia Đình,Quán bia,"Quán bia, Nhà hàng gia đình, Nhà hàng",+84 969 697 506,"Quán 51 | Quán Nhậu Hẻm 51 | Quán Ăn Gia Đình, 10a2/1 Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",10a2/1 Hẻm 51,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
87,ChIJcwEl3r6JoDERXpk6HUn2l90,Quán CHOÉN LẨU & ỐC,Quán ăn nhỏ,Quán ăn nhỏ,+84 767 999 768,"Quán CHOÉN LẨU & ỐC, 162 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",162 Đ. Trần Ngọc Quế,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
88,ChIJaRiVnk9joDER7id5CvYWo54,Quán Súp Mộc,Nhà hàng ăn nhanh,Nhà hàng ăn nhanh,+84 902 803 650,"Quán Súp Mộc, 105 Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ, Việt Nam","An Hội, Ninh Kiều",105 Xô Viết Nghệ Tĩnh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
89,ChIJFWBQlyWJoDER38v5JN_3E0Y,Bếp Me Mien - Ẩm Thực Campuchia,Nhà hàng Campuchia,Nhà hàng Campuchia,+84 292 2221 503,"Bếp Me Mien - Ẩm Thực Campuchia, 294 Đ. Đồng Văn Cống, An Thới, Bình Thủy, Cần Thơ, Việt Nam","An Thới, Bình Thủy",294 Đ. Đồng Văn Cống,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
91,ChIJo-MC71CIoDER5uTCCLgwSwQ,Bún Mắm Út Béo 1,Nhà hàng,Nhà hàng,+84 939 388 000,"Bún Mắm Út Béo 1, 793 - Đường Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",793 - Đường Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
92,ChIJdaeaX_yHoDERfAQTj42g58A,Quán Hương Xưa,Nhà hàng,Nhà hàng,,"Quán Hương Xưa, 15 Trần Văn Giàu, Cái Khế, Ninh Kiều, Cần Thơ 840292, Việt Nam","Cái Khế, Ninh Kiều",15 Trần Văn Giàu,Cần Thơ,840292.0,"Ninh Kiều, Cần Thơ",VN
94,ChIJSRi9V9OJoDER-hi8LGnltgQ,Quán Bánh Xèo Đồng Xanh,Quán ăn nhỏ,Quán ăn nhỏ,+84 376 962 024,"Quán Bánh Xèo Đồng Xanh, 84 Nguyễn Văn Cừ Nối Dài, P, Ninh Kiều, Cần Thơ 90000, Việt Nam","P, Ninh Kiều",84 Nguyễn Văn Cừ Nối Dài,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
95,ChIJ98cUeKyJoDERN83-GMegxl0,Bếp Chay Mái Hiên,Nhà hàng cho người ăn chay,"Nhà hàng cho người ăn chay, Nhà hàng ăn chay",+84 969 339 070,"Bếp Chay Mái Hiên, 8 Đinh Tiên Hoàng/hẻm 8 Đ. Đinh Tiên Hoàng, An Hội, Ninh Kiều, Cần Thơ 94000, Việt Nam","An Hội, Ninh Kiều",8 Đinh Tiên Hoàng/hẻm 8 Đ. Đinh Tiên Hoàng,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
98,ChIJw0oxeuRjoDER959M1_nePoU,Bún đậu mắm tôm NHÀ CỦA ĐẬU,Quán ăn nhỏ,Quán ăn nhỏ,+84 969 782 742,"Bún đậu mắm tôm NHÀ CỦA ĐẬU, 12 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",12 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
99,ChIJFfE36BBjoDERSYmtXgW4QeM,PHỞ Z586,Nhà hàng,Nhà hàng,+84 345 678 586,"PHỞ Z586, 49 Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",49 Đ. Ngô Quyền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
100,ChIJHyf3JWeJoDERcPjlMmgh6W8,Cơm Niêu Ngũ Vị,Nhà hàng gia đình,Nhà hàng gia đình,+84 939 051 113,"Cơm Niêu Ngũ Vị, 102/10 Đ. Trần Hoàng Na, mới, Ninh Kiều, Cần Thơ 900000, Việt Nam","mới, Ninh Kiều",102/10 Đ. Trần Hoàng Na,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
102,ChIJ2_K0Y_pjoDERNYvV3dhxlmU,Quán Ăn việt hoa 1,Quán ăn nhỏ,"Quán ăn nhỏ, Nhà hàng",+84 949 657 279,"Quán Ăn việt hoa 1, 17 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000, Việt Nam","Tân An, Ninh Kiều",17 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
111,ChIJo1nLQbGHoDERFHo8IguWw5Q,Phở Lý Quốc Sư,Nhà hàng châu Á,Nhà hàng châu Á,,"Phở Lý Quốc Sư, 38 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",38 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
112,ChIJqV1K_8FjoDERKwp_hdseILM,Quán ăn BÒ 59 Hưng Phú/ Đồ đồng / Hải sản/ Bò,Quán ăn nhỏ,Quán ăn nhỏ,+84 917 359 975,"Quán ăn BÒ 59 Hưng Phú/ Đồ đồng / Hải sản/ Bò, 218 Đ. Lý Thái Tổ, Hưng Phú, Cái Răng, Cần Thơ, Việt Nam","Hưng Phú, Cái Răng",218 Đ. Lý Thái Tổ,Cần Thơ,,"Cái Răng, Cần Thơ",VN
113,ChIJz8sYljSIoDERACLMvaX1s3o,Quán Chè Bi Bo,Quán ăn nhỏ,Quán ăn nhỏ,+84 913 816 855,"Quán Chè Bi Bo, 13 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",13 Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
114,ChIJv-CxtUyIoDERH1IuxkkdWFw,Cơm Gà Xối Mỡ Bảo Phát,Quán ăn nhỏ,Quán ăn nhỏ,+84 907 863 123,"Cơm Gà Xối Mỡ Bảo Phát, 116G/3, Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ 92000, Việt Nam","An Bình, Ninh Kiều","116G/3, Đ. Trần Vĩnh Kiết",Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN
115,ChIJwzu_XeiJoDER378CBveefiA,NHÀ HÀNG HẢI SẢN - GÀ TRE NỒI ĐẤT,Nhà hàng gia đình,Nhà hàng gia đình,+84 292 6299 997,"NHÀ HÀNG HẢI SẢN - GÀ TRE NỒI ĐẤT, 127 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",127 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
117,ChIJrWekMDWIoDER72OGRqLV_-Y,Phở Hương 529,Quán ăn nhỏ,Quán ăn nhỏ,+84 292 3840 470,"Phở Hương 529, 529 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",529 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
118,ChIJvYRWKUhjoDERUEhEDnlONN8,Ja mi dang Quán Ăn Hàn Quốc,Nhà hàng,Nhà hàng,,"Ja mi dang Quán Ăn Hàn Quốc, TP, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ 90000, Việt Nam","Cái Khế, Ninh Kiều","TP, Sông Hậu",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
123,ChIJYd2KbXCJoDERqziukxpKAw0,Nem nướng 98 Đề Thám (địa chỉ cũ Hai Vân),Quán ăn nhỏ,Quán ăn nhỏ,+84 918 190 190,"Nem nướng 98 Đề Thám (địa chỉ cũ Hai Vân), 98 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000, Việt Nam","Tân An, Ninh Kiều",98 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
125,ChIJ_9o1dXeJoDEREGeJJE-TAeg,Bún nước lèo An Tâm,Quán ăn nhỏ,Quán ăn nhỏ,+84 902 549 955,"Bún nước lèo An Tâm, 102 Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",102 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
126,ChIJR5BFUVyJoDERg8f9tonAL0M,Nướng- Lẩu Tomyum (Macsu Tea),Quán ăn nhỏ,Quán ăn nhỏ,+84 968 835 657,"Nướng- Lẩu Tomyum (Macsu Tea), Hẻm 160 tổ 13 An Khánh, Ninh Kiều, Cần thơ Hẻm 160 tổ 13 ( hẻm liên tô 12_20, Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","Hẻm 160 tổ 13 An Khánh, Ninh Kiều, Cần thơ Hẻm 160 tổ 13 ( hẻm liên tô 12_20, Đ. Nguyễn Văn Cừ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
128,ChIJP2wcCRCJoDERX9DE8T0mQBA,Mẹt Quán - Ẩm Thực Hà Thành,Nhà hàng,Nhà hàng,+84 982 253 615,"Mẹt Quán - Ẩm Thực Hà Thành, 82 Đ. A3, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",82 Đ. A3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
129,ChIJMVUNOaaJoDER6HwUHNjLgj0,Cơm Phần ÚT TRINH,Nhà hàng,Nhà hàng,+84 939 709 020,"Cơm Phần ÚT TRINH, 10/16 Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",10/16 Đ. Trần Vĩnh Kiết,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
132,ChIJAz5WdchjoDERo6FefphDHYM,Quán ăn gia đình Ninh Kiều Quán,Khu ăn uống,"Khu ăn uống, Nhà hàng",,"Quán ăn gia đình Ninh Kiều Quán, 16 Đ. Tân Trào, Tân An, Ninh Kiều, Cần Thơ 900000, Việt Nam","Tân An, Ninh Kiều",16 Đ. Tân Trào,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
138,ChIJb2q7sqaJoDER2NJEypkZHWo,Quán Nhậu Thanh Vân (bé Mười),Nhà hàng,Nhà hàng,+84 973 903 942,"Quán Nhậu Thanh Vân (bé Mười), 75/2 kv 7, P, Ninh Kiều, Cần Thơ, Việt Nam","P, Ninh Kiều",75/2 kv 7,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
140,ChIJH8plB7FjoDERlmnKZRZAtos,Lốp Cốp Beer Station,Nhà hàng gia đình,Nhà hàng gia đình,+84 931 818 811,"Lốp Cốp Beer Station, 34 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",34 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
141,ChIJtSamEteJoDERgj0wcnEgqBE,Cơm Thanh - Cần Thơ,Quán ăn nhỏ,Quán ăn nhỏ,+84 938 892 893,"Cơm Thanh - Cần Thơ, 1A Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94117, Việt Nam","Khu dân cư 91B, Ninh Kiều",1A Đ. Nguyễn Hiền,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN
142,ChIJi2V7ZjSIoDERSrFxumiSgqI,Quán Ăn Gia đình Cúc 91,Nhà hàng,Nhà hàng,+84 941 122 930,"Quán Ăn Gia đình Cúc 91, khu cán bộ giảng viên, Đ. Số 7 Hẻm51 An Khánh, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","khu cán bộ giảng viên, Đ. Số 7 Hẻm51 An Khánh",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
143,ChIJS_tor-mJoDERNiqFz1iXDGM,Quán phở Hà Nội Bá Hùng,Nhà hàng phở,Nhà hàng phở,+84 867 565 472,"Quán phở Hà Nội Bá Hùng, 233 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ 029203, Việt Nam","An Hoà, Ninh Kiều",233 Đ. Nguyễn Đệ,Cần Thơ,29203.0,"Ninh Kiều, Cần Thơ",VN
156,ChIJ349GTHqHoDERmtaskwsmSqg,Nhà Hàng Hoa Sen,Nhà hàng,Nhà hàng,+84 292 3939 955,"3Q8G+GVR Nhà Hàng Hoa Sen, Cồn Khương, Ninh Kiều, Cần Thơ, Việt Nam","Cồn Khương, Ninh Kiều",3Q8G+GVR,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
158,ChIJv9Pm37mJoDERNlk5qwPhSN0,Nhà hàng Hầm Rượu Cáo Nho,Nhà hàng gia đình,Nhà hàng gia đình,+84 763 883 839,"Nhà hàng Hầm Rượu Cáo Nho, 80 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",80 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
160,ChIJA5u4k8eJoDERXAmSl3c8sQA,Bún đậu mắm tôm Quỳnh CN2,Quán ăn nhỏ,Quán ăn nhỏ,+84 854 119 777,"Bún đậu mắm tôm Quỳnh CN2, 138C1 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",138C1 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
161,ChIJLfJZfxGJoDERgaQe9JXVoqQ,Quán Cơm Sinh Viên Thảo Trang,Quán ăn nhỏ,Quán ăn nhỏ,+84 788 878 287,"Quán Cơm Sinh Viên Thảo Trang, 320/15A Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Xuân Khánh, Ninh Kiều",320/15A Đ. Trần Ngọc Quế,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
162,ChIJLzKm3pmHoDERiMjO62ntnGY,Dịch vụ nấu ăn Hạnh Dung (Tám Be),Nhà hàng,Nhà hàng,+84 939 683 308,"Dịch vụ nấu ăn Hạnh Dung (Tám Be), Đ. Số 13, Cồn Khương, Ninh Kiều, Cần Thơ, Việt Nam","Cồn Khương, Ninh Kiều",Đ. Số 13,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
