,place_id,name,main_category,phone,address,lat,lng,House_number,Street,Ward,District,City,progress
123,ChIJgaIQ76xioDERj6ONtM0nc5A,Nesta Coffee,Quán cà phê,0292 3831 216,"Nesta Coffee, 9C Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ",10.03667,105.75813,,Đường Nguyễn Văn Cừ Nối Dài,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
124,ChIJUew2yEWJoDER25-sskI9C1w,CHILL COFFEE,Quán cà phê,0903 963 688,"CHILL COFFEE, 49 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ",10.03661,105.77186,25,Đường Mậu Thân,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
125,ChIJy1VzIUmrNTERX26zMhtwSgQ,Lofita Cafe,Quán cà phê,1800 6503,"Lofita Cafe, 30A Trần Hưng Đạo, Phan Chu Trinh, Hoàn Kiếm, Hà Nội 11019",10.03525,105.78606,6,Đại Lộ Hòa Bình,Phường An Cư,Quận Ninh Kiều,Cần Thơ,True
126,ChIJ72s1_bFjoDERUgSKI9kxCYE,VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ,Nhà hàng món lẩu,0799 637 739,"VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ, 42 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ",10.06054,105.78173,8,Đường Phạm Công Trứ,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
127,ChIJM19gduurNTERptHpW_ybbGo,T.Coffee 14 Ngô Quyền,Quán cà phê,0942 893 686,"T.Coffee 14 Ngô Quyền, 14 P. Ngô Quyền, Tràng Tiền, Hoàn Kiếm, Hà Nội 10000",10.00574,105.74298,2,Đường D2,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
128,ChIJM15XtJCJoDERKrjTOAi9PEY,Hoa Yên An Bình,Quán cà phê,0919 462 904,"Hoa Yên An Bình, A3 khu dân cư 923, An Bình, Ninh Kiều, Cần Thơ 27000",10.03349,105.78338,14,Đường Đề Thám,Phường An Cư,Quận Ninh Kiều,Cần Thơ,True
129,ChIJPSJDgCGIoDEROvrrCgGNMGA,CÀ PHÊ MILANO NGỌC THUÝ 1,Quán cà phê,0943 473 309,"CÀ PHÊ MILANO NGỌC THUÝ 1, 81 Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ 92000",43.76052,1.89396,,,La Caïphe,Puybegon,Tarn,True
131,ChIJC5JFZCGIoDERs9-xioqsHxg,Coffee Fresh,Quán cà phê,0292 3735 245,"Coffee Fresh, Hẻm 15 Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ 94000",10.01362,105.76284,3,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
132,ChIJYWgKnI-rNTERBK7N4VUOAbk,Cafe Mai,Quán cà phê,0936 606 789,"Cafe Mai, 75 P. Trần Nhân Tông, Nguyễn Du, Hai Bà Trưng, Hà Nội",10.04106,105.76707,39,Đường Mậu Thân,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
133,ChIJa8eWrGyIoDERJJdb_cEoSp8,Cafe Sành Điệu 2,Quán cà phê,0932 964 157,"Cafe Sành Điệu 2, Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ",10.01362,105.76284,,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
134,ChIJz1_Q5lljoDERugYFVbXbnq4,GÓC KAFÉ,Quán cà phê,0907 121 316,"GÓC KAFÉ, 127 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ 900000",10.03515,105.77255,A5,Hẻm 21B Đường Cao Thắng,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
155,ChIJJ8InsOwpdTERKzAX9Kfc8Wc,Zeraffe Coffee,Quán cà phê,,"Zeraffe Coffee, 226/36 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh 700000",21.02274,105.84531,2,Phố Trần Bình Trọng,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,Hà Nội,True
165,ChIJ-4t8WfiJoDERQCjS2A_fu7w,Mộc Nhiên Coffee,Quán cà phê,0939 967 888,"2QM7+PVF Mộc Nhiên Coffee, Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ",10.05635,105.77817,60,Đường Nguyễn Văn Cừ,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
167,ChIJw3D-6A-JoDERbEgBFsjHz3w,Mộng Coffee,Quán cà phê,0907 695 073,"Mộng Coffee, 57A4 Đ. Hồ Bún Xáng, Xuân Khánh, Ninh Kiều, Cần Thơ",10.0271,105.74819,28,Đường Nguyễn Văn Cừ,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
169,ChIJ92g2xnSJoDERK_XtYtgT7L8,A Coffee and Flower Garden,Quán cà phê,0911 678 910,"A Coffee and Flower Garden, 132 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ",10.04532,105.77962,2,Đường Hùng Vương,Phường Thới Bình,Quận Ninh Kiều,Cần Thơ,True
170,ChIJ7d7KYryrNTER7Qc5Rzc7XyQ,Maison d'été,Quán cà phê,0915 450 572,"2R6M+52F Maison d'été, Trung Tự, Đống Đa, Hà Nội",10.01403,105.76297,151,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
171,ChIJFSU86Z2JoDERBJQbtmbsy6g,Prince Koi Coffee,Quán cà phê,0979 007 795,"Prince Koi Coffee, 467 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 90000",10.03592,105.75738,,,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
172,ChIJmUy_VS2tNTERH8ugHtNt83s,Anh Hai Sài Gòn Cà Phê,Quán cà phê,0348 399 598,"Anh Hai Sài Gòn Cà Phê, P107 K10B, Khu tập thể Bách Khoa, Hai Bà Trưng, Hà Nội",10.02332,105.75621,104,Đường Nguyễn Hiền,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
174,ChIJvXKlkFmJoDERfnXqmoiucIY,MK Coffee and Tea,Quán cà phê,,"MK Coffee and Tea, 7a1 Đ bờ kè Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ",10.03663,105.76652,,Hẻm 51 Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
175,ChIJb2bin4eJoDER8NSJU2fUwpM,Cà phê Phương Hân,Quán cà phê,,"Cà phê Phương Hân, 18 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ",31.54905,-82.84922,,,,,Coffee,True
176,ChIJRQ3U8YyrNTERlzVbZ5o_rNM,Big Ben Cafe,Quán cà phê,,"Big Ben Cafe, 30 P. Tuệ Tĩnh, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",10.03226,105.77408,,,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
178,ChIJF4ZpWdyJoDERzRN84j08ma8,Cà phê Sữa Đá,Quán cà phê,0859 995 359,"Cà phê Sữa Đá, 79/21 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ",10.01984,105.76321,172B,Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
183,ChIJI2emurKJoDER5uyUUtCX2Mc,Cà phê Black Gold,Quán cà phê,0772 822 546,"Cà phê Black Gold, 299 Võ Văn Kiệt, An Thới, Ninh Kiều, Cần Thơ",50.1846,3.50233,,Place du Béart,,Solesmes,Nord,True
187,ChIJ-TMBQVGIoDERwSrR51a4ues,Cafe Milano Hồng Phát,Quán cà phê,0939 311 660,"Cafe Milano Hồng Phát, KDC Hồng Phát, Đ.Xuân Thủy, An Bình, Ninh Kiều, Cần Thơ",10.03223,105.7503,335,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
188,ChIJvwKH-CGJoDERV0c_hMgygTw,CÀ PHÊ NHÀ PHẠM,Quán cà phê,0772 170 707,"CÀ PHÊ NHÀ PHẠM, 219 Đường số 3, khu CBGV, Ninh Kiều, Cần Thơ",10.02601,105.74876,,Đường Trần Hoàng Na,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
190,ChIJ95ZVm6VjoDERRs-ls71JwE0,T-COFFEE,Quán cà phê,0907 454 848,"T-COFFEE, 65 Mai Chí Thọ, Phú Thứ, Cái Răng, Cần Thơ 900000",10.05979,105.72429,,Đường Bùi Hữu Nghĩa,Phường Long Hòa,Quận Bình Thủy,Cần Thơ,True
207,ChIJ6aQxBkCJoDER6HdlntNqEoA,Cafe & Sách Không Thời Gian,Quán cà phê,0706 862 168,"Cafe & Sách Không Thời Gian, 94 Đường số 3, KDC ĐHCT, Ninh Kiều, Cần Thơ 94117",31.61151,-82.73486,9494,Highway 221 N,,West Green,Coffee,True
208,ChIJISvNKEdVNDERZtXVnZvqL3c,Quận Cà Phê,Quán cà phê,,"Quận Cà Phê, 12 Đường Phú Minh, Minh Khai, Bắc Từ Liêm, Hà Nội 10000",10.0277,105.77039,144B,Đường 3 Tháng 2,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
211,ChIJxWSvk5CJoDER4Q-k02JGans,TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT,Quán cà phê,0943 253 275,"TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT, 24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ",10.06648,105.75898,,Đường Cách Mạng Tháng 8,Phường Bùi Hữu Nghĩa,Quận Bình Thủy,Cần Thơ,True
214,ChIJAweY6-KJoDERoGU7T45AjJU,Mộc Lan Trà Quán,Quán cà phê,0903 122 383,"Mộc Lan Trà Quán, 54 tổ 7 , Đường Bờ Hồ Bún Xáng, Cần Thơ 900000",10.02685,105.7479,36,Đường Nguyễn Văn Cừ,Phường An Bình,Quận Ninh Kiều,Cần Thơ,True
216,ChIJDwDtoaFjoDERLommZQPHssA,Lê’s Path Coffee Cái Răng - Quán Cà Phê Đẹp Có Sân Vườn Máy Lạnh Và Điểm Tâm Sáng,Quán cà phê,0939 549 245,"Lê’s Path Coffee Cái Răng - Quán Cà Phê Đẹp Có Sân Vườn Máy Lạnh Và Điểm Tâm Sáng, 12 Mai Chí Thọ, KDC 586, Cái Răng, Cần Thơ 900000",10.04221,105.75468,,Đường Số 10,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
218,ChIJh_SqyOqJoDERFXK94Ewn7O4,HOYA Tea & Coffee Búng Xáng,Quán cà phê,0909 996 672,"HOYA Tea & Coffee Búng Xáng, Tổ 4 Khu Vực 3, Phường An Khánh, Ninh Kiều, Cần Thơ 900000",10.04366,105.76188,152A/17,Đường Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
219,ChIJe36kBhWJoDERgCzxVd9QEWg,Trạm Dừng Chân (Quán Trà - Sách),Quán cà phê,0939 889 945,"Trạm Dừng Chân (Quán Trà - Sách), 1A/15A Nguyễn Văn Trỗi, An Nghiệp, Ninh Kiều, Cần Thơ",10.03835,105.75368,118,Đường Tô Hiến Thành,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
220,ChIJ37vstxSJoDERCIu2NXrRmOM,Hạt Specialty Coffee - Roastery,Quán cà phê,0362 164 429,"Hạt Specialty Coffee - Roastery, 67-69 Đường B25, Khu dân cư 91B, Ninh Kiều, Cần Thơ 90000",10.0263,105.758,10,Quốc Lộ 91B,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
221,ChIJ-6I1hZmJoDERXIaXaV4hgiI,Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú,Quán cà phê,0866 719 799,"Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú, Lô H Trần Phú, Thới Bình, Ninh Kiều, Cần Thơ 94000",10.0501,105.78701,2,Đường Lê Lợi,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
223,ChIJecnD4D2JoDERXpnttF_lD3c,Tojime cafe,Quán cà phê,0902 754 777,"Tojime cafe, 12A Đ. Lê Anh Xuân, An Cư, Ninh Kiều, Cần Thơ",10.05384,105.77173,76,Đường Cách Mạng Tháng 8,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
224,ChIJSZJDJgOIoDERraFeDjWz1ao,Tasa Coffee Hùng Vương,Quán cà phê,0932 838 588,"Tasa Coffee Hùng Vương, 55 Hùng Vương, An Hội, Ninh Kiều, Cần Thơ",10.03518,105.76522,,Hẻm 51 Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
225,ChIJyf68tyBjoDERgOFKPFobSfY,Cafe Thềm Xưa,Quán cà phê,0931 022 424,"Cafe Thềm Xưa, 07 Đ. Phạm Ngọc Thạch, P, Ninh Kiều, Cần Thơ 90000",10.01063,105.76196,24,Đường 30 Tháng 4,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
227,ChIJs8lmXcOJoDERYDSbDYe1D9E,Lily cafe,Quán cà phê,0909 575 999,"Lily cafe, 171 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ",10.02463,105.76011,29,Đường Nguyễn Văn Linh,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
228,ChIJWUJYJvSJoDERbGel3eYTEN4,Tiệm cà phê Nhà Có Khách,Quán cà phê,0363 618 128,"Tiệm cà phê Nhà Có Khách, 359/19b Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ",10.04465,105.78187,10,Đường Trần Quang Khải,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
231,ChIJnQdgZdmrNTERLv2nbqmvenM,Lang Thang Cà Phê - Đỗ Hành,Quán cà phê,0363 767 866,"Lang Thang Cà Phê - Đỗ Hành, 14 P. Đỗ Hành, Nguyễn Du, Hai Bà Trưng, Hà Nội",10.01403,105.76297,151,Đường Trần Hoàng Na,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
232,ChIJ24MMnCFjoDERIZq8jNXWVqQ,Đất cà phê - takeaway & delivery,Quán cà phê,0348 782 788,"Đất cà phê - takeaway & delivery, 28 Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ 94000",31.36044,-85.81688,,Mossey Ln,,Enterprise,Coffee,True
233,ChIJTaFpXd6JoDERk1j12Kc2h9w,Up Coffee & Bistro,Quán cà phê,0774 451 319,"Up Coffee & Bistro, 35 Hẻm 6 Mậu Thân, An Phú, Ninh Kiều, Cần Thơ",,,,,,,,True
234,ChIJceiwADQtdTERXVmmlEXN4lg,HONEYLLA COFFEE | COFFEE VIEW ĐẸP QUẬN 6 | COFFEE NGON QUẬN 6,Quán cà phê,0938 838 896,"HONEYLLA COFFEE | COFFEE VIEW ĐẸP QUẬN 6 | COFFEE NGON QUẬN 6, 209 Bà Hom, Phường 13, Quận 6, Thành phố Hồ Chí Minh",10.05864,105.78112,51,Đường Nguyễn Văn Cừ,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
262,ChIJRWQ9adaJoDERxeywzi3cVZQ,Bus Stop coffee & tea,Quán cà phê,0939 882 432,"Bus Stop coffee & tea, 114 Đường số 3, Phường An Khánh, Ninh Kiều, Cần Thơ",10.05101,105.77295,37,Đường Nguyễn Văn Cừ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
263,ChIJIY49UnFjoDERuiyJb5kerdI,Highlands Coffee Trần Văn Khéo - Cần Thơ,Quán cà phê,0292 7302 324,"Highlands Coffee Trần Văn Khéo - Cần Thơ, 66-68 Trần Văn Khéo, An Hội, Ninh Kiều, Cần Thơ 94000",10.02968,105.75126,138,Đường Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
265,ChIJaUksgVWJoDERmCqy8te6vKo,Highlands Coffee Huỳnh Cương - Cần Thơ,Quán cà phê,0292 7302 627,"Highlands Coffee Huỳnh Cương - Cần Thơ, TP, 198–200 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 94000",10.03214,105.74612,2,Đường Nguyễn Tri Phương,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
266,ChIJ8aSTJZ-JoDER773DhOQYbEI,NÂU Coffee & Tea,Quán cà phê,0939 483 366,"NÂU Coffee & Tea, 103A, kv2, bờ kè rạch ngỗng, Phường An Khánh, Ninh Kiều, Cần Thơ",10.03392,105.74699,,Khu Dân Cư Hàng Bàng,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
267,ChIJGRjHnJuJoDERiJEodhJM9QU,Quán cà phê Bida Guitar,Quán cà phê,0939 822 338,"Quán cà phê Bida Guitar, 16 Bông Vang, Đối diện công an xã, Phong Điền, Cần Thơ 000000",10.02893,105.75014,4,Đường Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
268,ChIJG_uCjsyJoDERfyhsD4v5rrw,Uyên Nhi Coffee,Quán cà phê,,"Uyên Nhi Coffee, 654 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ",10.03108,105.75126,339,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
269,ChIJFTKty0iJoDERc1psLbx0Nno,Cà phê Đỉnh,Quán cà phê,0926 616 775,"Cà phê Đỉnh, 57 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ 92000",10.03387,105.74821,345,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
270,ChIJpx0CL5SJoDER98MWnvj1Gmw,Cafe Nhà anh Đỗ,Quán cà phê,0967 904 249,"Cafe Nhà anh Đỗ, 25C Đ. Nguyễn Văn Cừ, An Phú, Ninh Kiều, Cần Thơ",,,,,,,,True
271,ChIJr7JyMJGJoDERwvsVHNTPlOQ,Co-Coffee,Quán cà phê,0939 154 202,"Co-Coffee, 202 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ",10.08162,105.74039,,,,Quận Bình Thủy,Cần Thơ,True
281,ChIJJb1-72SJoDERh3P6EpoBQqs,By Ken Le - Cafe Sữa Bọt,Quán cà phê,,"By Ken Le - Cafe Sữa Bọt, 65 Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 900022",10.05867,105.78086,6/138A,Đường Nguyễn Văn Cừ,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
282,ChIJK_0EZgZjoDER4IZvKHy-h-w,Huy Anh Coffee.Tea.Juice,Quán cà phê,0787 979 989,"Huy Anh Coffee.Tea.Juice, 6 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ",10.04861,105.77471,,Hẻm 24 Đường Trần Việt Châu,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
283,ChIJ52lPMMGJoDER0idfPPBjOTE,Quán Cà Phê - Sinh Tố 136,Cửa hàng bán nước quả ép,0908 768 027,"Quán Cà Phê - Sinh Tố 136, 136 Đ. Đồng Văn Cống, An Hoà, Bình Thủy, Cần Thơ 94200",10.04543,105.79094,,Đường Sông Hậu,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
284,ChIJVdn88XqJoDER4Ta4buisBbY,Coffee 51 - Cơm tấm,Quán cà phê,0762 909 990,"2QG8+8C8 Coffee 51 - Cơm tấm, Xuân Khánh, Ninh Kiều, Cần Thơ",10.04422,105.78169,2A,Đường Trần Quang Khải,Phường Cái Khế,Quận Ninh Kiều,Cần Thơ,True
285,ChIJ7aGVQJ5ioDERj5pQT5YKSfE,Kafe'Tin97,Quán cà phê,0932 829 333,"Kafe'Tin97, Tân An, Ninh Kiều, Cần Thơ",10.04847,105.76556,75,Hẻm 75 Đường Võ Trường Toản,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
