,place_id,name,main_category,phone,address
234,ChIJceiwADQtdTERXVmmlEXN4lg,HONEYLLA COFFEE | COFFEE VIEW ĐẸP QUẬN 6 | COFFEE NGON QUẬN 6,Quán cà phê,0938 838 896,"HONEYLLA COFFEE | COFFEE VIEW ĐẸP QUẬN 6 | COFFEE NGON QUẬN 6, 209 Bà Hom, Phường 13, Quận 6, Thành phố Hồ Chí Minh"
262,ChIJRWQ9adaJoDERxeywzi3cVZQ,Bus Stop coffee & tea,Quán cà phê,0939 882 432,"Bus Stop coffee & tea, 114 Đường số 3, Phường An Khánh, Ninh Kiều, Cần Thơ"
263,ChIJIY49UnFjoDERuiyJb5kerdI,Highlands Coffee Trần Văn Khéo - Cần Thơ,Quán cà phê,0292 7302 324,"Highlands Coffee Trần Văn Khéo - Cần Thơ, 66-68 Trần Văn Khéo, An Hội, Ninh Kiều, Cần Thơ 94000"
265,ChIJaUksgVWJoDERmCqy8te6vKo,Highlands Coffee Huỳnh Cương - Cần Thơ,Quán cà phê,0292 7302 627,"Highlands Coffee Huỳnh Cương - Cần Thơ, TP, 198–200 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 94000"
266,ChIJ8aSTJZ-JoDER773DhOQYbEI,NÂU Coffee & Tea,Quán cà phê,0939 483 366,"NÂU Coffee & Tea, 103A, kv2, bờ kè rạch ngỗng, Phường An Khánh, Ninh Kiều, Cần Thơ"
267,ChIJGRjHnJuJoDERiJEodhJM9QU,Quán cà phê Bida Guitar,Quán cà phê,0939 822 338,"Quán cà phê Bida Guitar, 16 Bông Vang, Đối diện công an xã, Phong Điền, Cần Thơ 000000"
268,ChIJG_uCjsyJoDERfyhsD4v5rrw,Uyên Nhi Coffee,Quán cà phê,,"Uyên Nhi Coffee, 654 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
269,ChIJFTKty0iJoDERc1psLbx0Nno,Cà phê Đỉnh,Quán cà phê,0926 616 775,"Cà phê Đỉnh, 57 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ 92000"
270,ChIJpx0CL5SJoDER98MWnvj1Gmw,Cafe Nhà anh Đỗ,Quán cà phê,0967 904 249,"Cafe Nhà anh Đỗ, 25C Đ. Nguyễn Văn Cừ, An Phú, Ninh Kiều, Cần Thơ"
271,ChIJr7JyMJGJoDERwvsVHNTPlOQ,Co-Coffee,Quán cà phê,0939 154 202,"Co-Coffee, 202 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ"
281,ChIJJb1-72SJoDERh3P6EpoBQqs,By Ken Le - Cafe Sữa Bọt,Quán cà phê,,"By Ken Le - Cafe Sữa Bọt, 65 Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 900022"
282,ChIJK_0EZgZjoDER4IZvKHy-h-w,Huy Anh Coffee.Tea.Juice,Quán cà phê,0787 979 989,"Huy Anh Coffee.Tea.Juice, 6 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ"
283,ChIJ52lPMMGJoDER0idfPPBjOTE,Quán Cà Phê - Sinh Tố 136,Cửa hàng bán nước quả ép,0908 768 027,"Quán Cà Phê - Sinh Tố 136, 136 Đ. Đồng Văn Cống, An Hoà, Bình Thủy, Cần Thơ 94200"
284,ChIJVdn88XqJoDER4Ta4buisBbY,Coffee 51 - Cơm tấm,Quán cà phê,0762 909 990,"2QG8+8C8 Coffee 51 - Cơm tấm, Xuân Khánh, Ninh Kiều, Cần Thơ"
285,ChIJ7aGVQJ5ioDERj5pQT5YKSfE,Kafe'Tin97,Quán cà phê,0932 829 333,"Kafe'Tin97, Tân An, Ninh Kiều, Cần Thơ"
297,ChIJY6sP2OBjoDER72dPs_gLShE,Cà Phê Tình Lai,Quán cà phê,,"Cà Phê Tình Lai, 24 Đ. Tân Trào, Tân An, Ninh Kiều, Cần Thơ"
298,ChIJ2SjHI65joDERnqDMVplwEpw,Cà phê tình nhân Bi Coffee 2,Quán cà phê,0292 2468 879,"Cà phê tình nhân Bi Coffee 2, 30-32 Đ. Phạm Ngọc Thạch, P, Ninh Kiều, Cần Thơ"
302,ChIJ7-U23NxjoDERBFhvVBHj5dw,Cả Nhà Mình Coffee,Quán cà phê,0913 973 360,"Cả Nhà Mình Coffee, 48 Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ"
304,ChIJdYcpvbyJoDER4Iuq7O7kh9E,Chất Cà Phê,Quán cà phê,0939 828 929,"Chất Cà Phê, 381 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ"
305,ChIJ-_L7OwNjoDERHlmIeHw1IWc,E-Coffee Trung Nguyên Phan Đình Phùng,Quán cà phê,,"E-Coffee Trung Nguyên Phan Đình Phùng, 12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ"
306,ChIJi1pA1IOJoDERts7F7MyS3rM,Võ Café,Quán cà phê,0907 192 730,"Võ Café, 96 Tổ 3, khu vực 12, Ninh Kiều, Cần Thơ 94117"
324,ChIJrVNRBKQpdTERcBT53j5pXHk,Kaizen Coffee,Nhà bán buôn cà phê,0815 111 888,"Kaizen Coffee, TP, Nhà L9, đường số 12, KDC Jamona Home Resort, Hiệp Bình Phước, Thủ Đức, Thành phố Hồ Chí Minh 71300"
330,ChIJz457NjWIoDERgtQrSK-RFNM,Tim Coffee,Quán cà phê,,"Tim Coffee, 29/3 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
331,ChIJ2edBXEWJoDER2JP7qJ_9CnU,Quynh Anh Coffee,Nhà sản xuất thực phẩm,0773 595 554,"Quynh Anh Coffee, 3 Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ 92000"
332,ChIJV4lwhMeJoDERlokURbPiXf8,1995s Coffee & Tea,Quán cà phê,0706 799 379,"1995s Coffee & Tea, 251/32A Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ"
344,ChIJGVQ5ulCJoDERKQmLHT4xlWA,HOMELY MILK-TEA TAKEAWAY,Quán cà phê,0814 748 978,"HOMELY MILK-TEA TAKEAWAY, 388Z6A, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
354,ChIJCStwutOJoDERcx0fD3JCxk0,Cà Phê Đồ Nghề Phước Duy,Quán cà phê,0946 377 778,"Cà Phê Đồ Nghề Phước Duy, 159 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ"
356,ChIJJ7NkhWqJoDERXIcM5VRte10,Cà Phê Xe Lam,Quán cà phê,0971 842 135,"Cà Phê Xe Lam, 31 Hùng Vương, An Hội, Ninh Kiều, Cần Thơ"
357,ChIJXedSC3GJoDERCJ9MsUx8DpI,Cà phê Vợt mang đi,Quán cà phê,0949 127 890,"Cà phê Vợt mang đi, 62 Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ"
358,ChIJ4RCpJPRjoDER3D0ReG2dKOk,Cà phê Tarot,Quán cà phê,0899 666 788,"Cà phê Tarot, 44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000"
359,ChIJJY9PuSSIoDER7MHl4OKk4QY,Quán Cà Phê Pha Lê,Quán cà phê,0292 3738 399,"2QGC+JHV Quán Cà Phê Pha Lê, Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ"
365,ChIJ33JDPhOJoDERJ2SmP9lHdS0,Cafe cá KOI,Quán cà phê,0939 961 728,"Cafe cá KOI, 163e Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
366,ChIJs5zJYDqIoDERoQ-O7t6vrQY,Quán Cà Phê Lê Bình,Quán cà phê,0989 900 077,"2QF8+FRV Quán Cà Phê Lê Bình, Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ"
370,ChIJL9Ud_iyJoDERmk-3n21rAVs,Cafe Ngọc Yến 3,Quán cà phê,,"2QF8+PR2 Cafe Ngọc Yến 3, Hưng Lợi, Ninh Kiều, Cần Thơ"
371,ChIJSwzxdMOJoDERFD3n1eV2LDY,Cafe PHỐ 24H,Quán cà phê,0989 900 077,"Cafe PHỐ 24H, 124 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
372,ChIJY8V7QDmtNTERNruZUVj4uU0,Sam Rooftop Coffee,Quán cà phê,0987 870 931,"Sam Rooftop Coffee, 58 Ng. 298 Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội"
373,ChIJn7RJk7yJoDEReCOEcgUe7hs,NHÀ DÁT VÀNG CẦN THƠ,Quán cà phê,0913 824 742,"NHÀ DÁT VÀNG CẦN THƠ, Số18 Đường số 6, Kdc Thới Nhựt 2, Ninh Kiều, Cần Thơ"
374,ChIJV_FD4EOIoDERUsytZhQWddg,CAFE NGỌC YẾN 6,Quán cà phê,0939 064 848,"CAFE NGỌC YẾN 6, 306N Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ"
375,ChIJiTr5bzSIoDER_7DJCUzeyDg,Aurora Cafe,Quán cà phê,,"Aurora Cafe, 169B Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ"
378,ChIJfZ7K6zqIoDERr_IzgMQbv7A,Hoa Đô Coffee,Quán cà phê,0939 659 059,"Hoa Đô Coffee, 164/7A Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ"
388,ChIJp7ErsKdioDERvXNzqlN12qE,Quán Cà Phê Đoàn 30,Quán cà phê,0292 3832 574,"Quán Cà Phê Đoàn 30, 80 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ"
398,ChIJ5VqtGaBioDER3NQLlbGoQyA,Quán Cà Phê Phương Mai,Quán cà phê,0949 111 223,"Quán Cà Phê Phương Mai, 42-44 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ"
401,ChIJfeQb2f2HoDERkEFhMLeNv28,Cafe An Gia,Quán cà phê,0925 631 506,"Cafe An Gia, 8 Trần Văn Giàu, Cái Khế, Ninh Kiều, Cần Thơ"
404,ChIJkfSqn1qIoDER80ttQS5RxqQ,Cafe Nhà Gỗ,Quán cà phê,0902 097 245,"Cafe Nhà Gỗ, 231 Nguyễn Văn Cừ Nối Dài, An Bình, Tp, Cần Thơ"
405,ChIJeWIJ2keIoDERN8HETfZTh24,Cafe Hoa Hồng,Quán cà phê,0917 130 999,"2QF4+9HF Cafe Hoa Hồng, Phường An Khánh, Ninh Kiều, Cần Thơ"
406,ChIJLYBYwDqIoDERuElQZO_4-vg,Cà Phê Hoàng Hôn,Quán cà phê,0292 3840 123,"Cà Phê Hoàng Hôn, 162 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ 900000"
407,ChIJR8zsxkOIoDERlxCWlfCzV3o,Cafe Hoa Nắng,Quán cà phê,0292 3769 103,"Cafe Hoa Nắng, 299 C Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ"
409,ChIJDS8toZSrNTERNJ026MyznXs,Cà phê Hai Bốn,Quán cà phê,0912 170 210,"Cà phê Hai Bốn, 43 Nguyễn Du Hà Nội, Hanoi City, 110115"
411,ChIJid_tjESIoDER6a6pRgDP7V8,Cà Phê 338,Quán cà phê,,"Cà Phê 338, 28 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ"
417,ChIJ78GcTDJjoDERsnbGDpEmGgs,Yên Garden Coffee & Tea,Quán cà phê,0939 141 177,"Yên Garden Coffee & Tea, 70-72 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ 94000"
435,ChIJlUQs3zWIoDERyp7XgqYVr7M,Café 112,Quán cà phê,,"Café 112, 112 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ"
